Patient,Expression
TCGA-37-4129,1384.75
TCGA-85-A510,1623.55
TCGA-37-3792,1733.13
TCGA-37-4141,1771.55
TCGA-46-6026,1807.84
TCGA-39-5040,1817.82
TCGA-33-4532,1855.03
TCGA-60-2711,1859.96
TCGA-77-8143,1864.88
TCGA-18-5595,1900.17
TCGA-85-A512,1951.59
TCGA-37-4132,1983.95
TCGA-34-5240,1984.74
TCGA-85-8070,2032
TCGA-37-4130,2033.01
TCGA-63-A5MY,2040.32
TCGA-85-A4JB,2053.14
TCGA-85-6560,2054.87
TCGA-18-3421,2062.93
TCGA-66-2792,2065.41
TCGA-33-4589,2067.43
TCGA-66-2742,2073.19
TCGA-43-7658,2085.37
TCGA-85-A4QR,2092.51
TCGA-O2-A52Q,2099.53
TCGA-NC-A5HM,2105.81
TCGA-39-5034,2128.9
TCGA-56-A49D,2168.35
TCGA-NK-A5D1,2208.53
TCGA-85-A5B5,2225.39
TCGA-66-2766,2262.28
TCGA-NC-A5HL,2269.7
TCGA-66-2795,2290.3
TCGA-18-4083,2290.58
TCGA-21-1075,2295.02
TCGA-56-A62T,2299.83
TCGA-43-6143,2326.41
TCGA-34-8456,2326.95
TCGA-43-3394,2334.07
TCGA-56-7223,2337.57
TCGA-63-A5MI,2353.01
TCGA-63-A5MB,2353.86
TCGA-56-8083,2363.59
TCGA-56-A4BX,2364.13
TCGA-18-3406,2381.1
TCGA-NC-A5HT,2402.4
TCGA-52-7809,2403.52
TCGA-22-4591,2408.34
TCGA-56-8504,2415.05
TCGA-33-4582,2436.77
TCGA-43-5670,2450.7
TCGA-37-4133,2464.84
TCGA-33-AASB,2468.92
TCGA-68-8250,2503.95
TCGA-56-A4ZK,2536.96
TCGA-77-8150,2537.29
TCGA-66-2773,2540.88
TCGA-18-3412,2550.86
TCGA-51-4081,2551.22
TCGA-22-4595,2553.51
TCGA-46-3769,2557.98
TCGA-56-7730,2558.39
TCGA-NC-A5HI,2564.9
TCGA-34-5927,2565.82
TCGA-63-A5MV,2565.89
TCGA-22-5481,2573.03
TCGA-43-5668,2586.14
TCGA-21-1079,2599.42
TCGA-92-7341,2611.72
TCGA-98-A53I,2613.39
TCGA-90-7769,2620.76
TCGA-85-8071,2628.32
TCGA-39-5011,2636.68
TCGA-85-7843,2637.45
TCGA-34-5241,2637.6
TCGA-60-2716,2655.05
TCGA-L3-A524,2665.57
TCGA-77-A5G7,2665.62
TCGA-63-A5ML,2666.15
TCGA-77-8139,2674.74
TCGA-43-8118,2677.58
TCGA-77-A5GA,2688.76
TCGA-O2-A52S,2689.16
TCGA-85-7844,2691.97
TCGA-85-8354,2704.82
TCGA-37-4135,2707.79
TCGA-58-A46J,2736.21
TCGA-63-A5MM,2743.32
TCGA-58-A46K,2753.29
TCGA-96-A4JK,2762.12
TCGA-60-2719,2780.2
TCGA-63-A5MW,2787.79
TCGA-60-2706,2797.74
TCGA-NC-A5HQ,2812.59
TCGA-56-7222,2817.2
TCGA-51-6867,2817.3
TCGA-66-2800,2822.42
TCGA-77-8153,2838.66
TCGA-56-7582,2843.86
TCGA-43-3920,2844.47
TCGA-58-8387,2847.81
TCGA-34-8455,2848.03
TCGA-77-7139,2849.06
TCGA-18-3411,2851.05
TCGA-94-A5I4,2852.5
TCGA-66-2778,2880.67
TCGA-21-1078,2885.8
TCGA-66-2757,2888.54
TCGA-NC-A5HJ,2914.46
TCGA-98-A539,2920.78
TCGA-22-5483,2920.95
TCGA-NK-A7XE,2922.25
TCGA-58-8386,2924.51
TCGA-39-5036,2928.53
TCGA-39-5037,2933.25
TCGA-39-5019,2935.31
TCGA-77-7142,2935.33
TCGA-85-A50Z,2939.58
TCGA-34-5234,2946.83
TCGA-J1-A4AH,2949.02
TCGA-21-1071,2950.68
TCGA-22-4593,2955.53
TCGA-NC-A5HK,2959.02
TCGA-85-8352,2969.9
TCGA-21-1083,2972.85
TCGA-52-7811,2973.63
TCGA-56-7221,2979.91
TCGA-37-A5EL,2995.67
TCGA-85-7710,2996.4
TCGA-66-2793,3002.06
TCGA-33-6737,3002.16
TCGA-33-AASD,3004.93
TCGA-94-7943,3010.58
TCGA-18-3419,3016.66
TCGA-56-8082,3023.98
TCGA-77-8007,3030.42
TCGA-66-2787,3039.95
TCGA-O2-A52W,3040.84
TCGA-51-4080,3046.57
TCGA-39-5039,3048.32
TCGA-56-1622,3055.62
TCGA-52-7812,3065.15
TCGA-NK-A5CR,3066
TCGA-39-5029,3068.37
TCGA-21-5783,3076.12
TCGA-22-5492,3076.59
TCGA-21-1076,3078.07
TCGA-60-2722,3083.71
TCGA-NK-A5CX,3099.65
TCGA-77-7138,3104.16
TCGA-56-8623,3111.36
TCGA-98-A538,3117.24
TCGA-56-8629,3123.34
TCGA-66-2758,3127.13
TCGA-33-AASJ,3127.49
TCGA-NC-A5HR,3134.88
TCGA-21-1080,3143.89
TCGA-18-4086,3147.46
TCGA-94-A5I6,3158.11
TCGA-77-A5G6,3159.4
TCGA-77-8146,3164.05
TCGA-43-6771,3169.29
TCGA-21-1072,3178.95
TCGA-22-A5C4,3187.39
TCGA-66-2786,3195.62
TCGA-66-2794,3197.59
TCGA-85-8584,3197.83
TCGA-33-6738,3200.86
TCGA-77-8144,3209.99
TCGA-70-6723,3217.13
TCGA-43-A474,3226.74
TCGA-68-A59I,3228.79
TCGA-60-2724,3236.06
TCGA-68-7755,3240.68
TCGA-56-7822,3251.17
TCGA-56-8304,3254.68
TCGA-39-5027,3256.73
TCGA-22-4601,3262.76
TCGA-22-5478,3266.39
TCGA-56-A4BW,3271.15
TCGA-63-A5MJ,3273.98
TCGA-85-A4CN,3286.29
TCGA-58-8392,3296.54
TCGA-43-2578,3319.83
TCGA-77-6845,3319.97
TCGA-22-4613,3322.12
TCGA-34-5231,3322.45
TCGA-33-AASL,3335.09
TCGA-56-7823,3335.13
TCGA-43-6770,3348.75
TCGA-O2-A5IB,3352.5
TCGA-NC-A5HF,3365.22
TCGA-85-7698,3369.89
TCGA-33-4587,3370.42
TCGA-43-A56V,3372.08
TCGA-77-A5GF,3381.77
TCGA-77-8136,3384.32
TCGA-39-5031,3392.46
TCGA-77-8148,3392.63
TCGA-77-7140,3395.02
TCGA-39-5028,3398.67
TCGA-60-2723,3398.8
TCGA-NC-A5HH,3404.07
TCGA-66-2770,3405
TCGA-21-1077,3409.94
TCGA-37-3789,3415.56
TCGA-NC-A5HD,3416.76
TCGA-63-A5MR,3428.78
TCGA-22-5473,3434.07
TCGA-NC-A5HN,3434.73
TCGA-60-2708,3441.61
TCGA-43-8115,3451.16
TCGA-66-2727,3458.54
TCGA-68-7756,3462.92
TCGA-66-2754,3465.24
TCGA-68-A59J,3467.9
TCGA-92-8064,3468.97
TCGA-70-6722,3476.01
TCGA-51-4079,3480.88
TCGA-66-2790,3491.08
TCGA-98-A53H,3491.54
TCGA-22-4604,3507.98
TCGA-77-7335,3508.71
TCGA-66-2768,3523.04
TCGA-56-A4BY,3541.38
TCGA-37-3783,3541.86
TCGA-66-2782,3557.62
TCGA-22-4599,3569.11
TCGA-58-8391,3574.42
TCGA-18-3415,3575.14
TCGA-66-2763,3579.27
TCGA-94-8035,3599.13
TCGA-92-8063,3599.5
TCGA-43-2576,3602.04
TCGA-66-2788,3604.92
TCGA-22-5485,3608.68
TCGA-39-5016,3610.71
TCGA-18-3416,3611.85
TCGA-94-7557,3615.35
TCGA-66-2789,3617.86
TCGA-92-8065,3619.41
TCGA-L3-A4E7,3623.05
TCGA-77-A5G1,3623.65
TCGA-18-3408,3628.06
TCGA-56-8624,3634.07
TCGA-37-5819,3650.28
TCGA-66-2753,3663.8
TCGA-46-6025,3663.83
TCGA-22-5491,3664.94
TCGA-22-1002,3668.01
TCGA-85-8276,3679.98
TCGA-33-4538,3680.54
TCGA-O2-A52V,3682.74
TCGA-60-2696,3683.14
TCGA-63-A5MP,3689.63
TCGA-85-8351,3695
TCGA-22-5479,3699.48
TCGA-58-A46M,3703.16
TCGA-77-7337,3706.18
TCGA-21-1082,3706.95
TCGA-85-8355,3712.36
TCGA-85-8350,3713.77
TCGA-34-2596,3728.83
TCGA-96-7545,3735.08
TCGA-92-7340,3736.84
TCGA-46-3765,3737.84
TCGA-85-7699,3745.86
TCGA-22-1000,3760.49
TCGA-22-0940,3767.76
TCGA-33-A5GW,3770.36
TCGA-85-6175,3772.19
TCGA-90-7964,3780.29
TCGA-66-2771,3793.12
TCGA-85-6561,3796.93
TCGA-77-8156,3802.99
TCGA-NC-A5HO,3806.45
TCGA-77-8128,3821.29
TCGA-63-A5MS,3826.09
TCGA-77-8133,3835.33
TCGA-98-A53A,3839.23
TCGA-85-A53L,3844.92
TCGA-85-8582,3848.23
TCGA-66-2737,3849.6
TCGA-21-A5DI,3867.36
TCGA-58-A46L,3867.55
TCGA-56-A5DS,3869.93
TCGA-22-0944,3871.57
TCGA-56-7579,3888.84
TCGA-85-8580,3892.84
TCGA-56-8625,3899.21
TCGA-85-8277,3914.9
TCGA-96-8170,3922.18
TCGA-90-7766,3926.06
TCGA-60-2709,3929.28
TCGA-21-5787,3932.02
TCGA-43-6773,3937.55
TCGA-98-A53B,3941.49
TCGA-77-A5G3,3944.11
TCGA-66-2781,3947.65
TCGA-33-4533,3950.78
TCGA-60-2704,3963.52
TCGA-43-7657,3964.94
TCGA-85-7697,3968.23
TCGA-85-8481,3976.29
TCGA-33-AAS8,3985.43
TCGA-60-2715,3999.04
TCGA-34-7107,3999.65
TCGA-33-4583,4023.88
TCGA-60-2697,4024.16
TCGA-60-2707,4027.81
TCGA-NC-A5HG,4034.03
TCGA-34-5929,4034.51
TCGA-77-7463,4035.56
TCGA-60-2710,4043.55
TCGA-33-4547,4052.43
TCGA-56-8305,4061.14
TCGA-43-7656,4070.13
TCGA-77-8140,4075.03
TCGA-85-7950,4090.21
TCGA-63-A5MH,4091.82
TCGA-56-7580,4098.78
TCGA-85-A4PA,4106.79
TCGA-18-3414,4115.19
TCGA-85-A4QQ,4122.47
TCGA-60-2698,4128.88
TCGA-85-A4CL,4130.31
TCGA-60-2714,4131.13
TCGA-21-5786,4133.65
TCGA-22-5482,4138.93
TCGA-66-2783,4141.3
TCGA-77-7141,4145.01
TCGA-22-1012,4147.47
TCGA-90-A59Q,4148.5
TCGA-60-2713,4151.63
TCGA-18-3407,4164.61
TCGA-22-5472,4170.32
TCGA-56-8308,4175.66
TCGA-22-4605,4194.93
TCGA-77-6842,4202.83
TCGA-37-A5EN,4213.57
TCGA-66-2765,4214.02
TCGA-46-3766,4214.15
TCGA-85-8287,4224.6
TCGA-34-2608,4231.04
TCGA-58-A46N,4247.62
TCGA-O2-A52N,4259.56
TCGA-98-A53C,4271.86
TCGA-18-4721,4273.5
TCGA-52-7622,4275.95
TCGA-98-8022,4280.35
TCGA-22-4594,4281.15
TCGA-96-7544,4281.27
TCGA-56-8628,4301.81
TCGA-39-5035,4303
TCGA-77-A5FZ,4312.84
TCGA-34-5236,4335.82
TCGA-39-5021,4352.49
TCGA-LA-A446,4352.61
TCGA-56-8626,4378.66
TCGA-85-8052,4395.27
TCGA-46-3767,4401.27
TCGA-85-8664,4413.65
TCGA-77-8145,4416.88
TCGA-66-2744,4422
TCGA-98-7454,4422.13
TCGA-56-A4ZJ,4423.78
TCGA-77-8009,4430.52
TCGA-LA-A7SW,4430.88
TCGA-22-1016,4430.99
TCGA-85-8353,4432.04
TCGA-85-8072,4436.08
TCGA-66-2756,4450.7
TCGA-56-7731,4455.81
TCGA-66-2734,4480.15
TCGA-60-2726,4540.8
TCGA-98-8020,4550.31
TCGA-56-5898,4554.26
TCGA-56-6545,4563.47
TCGA-56-8201,4583.15
TCGA-56-8622,4589.53
TCGA-NK-A5CT,4597.68
TCGA-77-6844,4603.38
TCGA-85-A513,4607.74
TCGA-46-3768,4654.28
TCGA-33-AASI,4673.72
TCGA-85-7696,4707.87
TCGA-22-4609,4721.94
TCGA-66-2777,4742.71
TCGA-94-A4VJ,4784.32
TCGA-43-A56U,4791.45
TCGA-77-8138,4810.57
TCGA-85-6798,4818.71
TCGA-34-5232,4861.27
TCGA-34-8454,4869.12
TCGA-22-4607,4871.04
TCGA-63-A5MG,4878.08
TCGA-85-A511,4884.38
TCGA-85-8666,4907.12
TCGA-77-8131,4912.05
TCGA-77-6843,4920.11
TCGA-58-8388,4926.33
TCGA-68-7757,4927.92
TCGA-22-1017,4944.58
TCGA-NC-A5HE,4946.21
TCGA-21-5782,4955.06
TCGA-98-8021,4957.7
TCGA-22-5480,4963.3
TCGA-94-7033,4986.8
TCGA-60-2695,4990.95
TCGA-60-2703,5029.98
TCGA-66-2785,5067.21
TCGA-MF-A522,5100.26
TCGA-85-8288,5110.42
TCGA-33-A4WN,5113.2
TCGA-98-A53J,5120.48
TCGA-66-2755,5139.1
TCGA-96-8169,5148.91
TCGA-85-A4JC,5153.51
TCGA-66-2767,5156.7
TCGA-63-A5MT,5157.16
TCGA-56-8309,5171.66
TCGA-56-A5DR,5201.15
TCGA-66-2769,5201.66
TCGA-22-4596,5214.72
TCGA-63-A5MN,5214.77
TCGA-39-5024,5229.61
TCGA-22-5477,5236.03
TCGA-77-8154,5245.69
TCGA-43-A475,5259.93
TCGA-60-2725,5277.58
TCGA-66-2759,5281.03
TCGA-34-5239,5285.52
TCGA-94-8490,5293.09
TCGA-85-8049,5304.21
TCGA-58-8393,5356.21
TCGA-33-4586,5371.04
TCGA-77-7338,5383.37
TCGA-22-5474,5408.42
TCGA-85-A50M,5429.76
TCGA-56-5897,5436.8
TCGA-66-2780,5446.23
TCGA-77-A5GB,5448.55
TCGA-39-5022,5474.41
TCGA-21-1081,5486.82
TCGA-56-8503,5503.87
TCGA-34-2600,5507.56
TCGA-60-2721,5544
TCGA-21-1070,5568.4
TCGA-85-8479,5572.77
TCGA-18-3410,5575.86
TCGA-18-3409,5600
TCGA-58-8390,5649.71
TCGA-22-1005,5663.62
TCGA-XC-AA0X,5726.74
TCGA-34-5928,5734.65
TCGA-22-5489,5837.86
TCGA-52-7810,5929.84
TCGA-60-2712,5944.44
TCGA-90-A4EE,5974.22
TCGA-77-A5G8,5995.52
TCGA-33-4566,6029.35
TCGA-90-7767,6030.89
TCGA-90-A4ED,6034.86
TCGA-90-6837,6087.24
TCGA-85-8048,6115.41
TCGA-NC-A5HP,6152.68
TCGA-22-1011,6163.09
TCGA-39-5030,6259.45
TCGA-21-5784,6308.97
TCGA-68-8251,6332.78
TCGA-94-8491,6344.12
TCGA-43-8116,6423.89
TCGA-77-7465,6492.82
TCGA-43-2581,6510.44
TCGA-77-A5GH,6550.85
TCGA-18-5592,6741.67
TCGA-18-3417,6761.8
TCGA-77-8130,6764.67
TCGA-43-6647,6790.6
TCGA-77-8008,6916.4
TCGA-37-A5EM,7065.72
TCGA-98-A53D,7075.66
TCGA-98-8023,7222.78
TCGA-34-A5IX,7289.98
TCGA-22-5471,7585.1
TCGA-60-2720,7761.46
TCGA-56-8307,8879.44
TCGA-96-A4JL,9155.87
